day,well,type,n,sample,cells_per_ml
7,F10,background,5569,70,222760
7,F11,algae,721,71,28840
7,F11,background,6957,71,278280
7,F12,algae,453,72,18120
7,F12,background,755,72,30200
7,G01,algae,455,73,18200
7,G01,background,27194,73,1087760
7,G02,algae,346,74,13840
7,G02,background,642,74,25680
7,G03,algae,565,75,22600
7,G03,background,600,75,24e3
7,G04,algae,638,76,25520
7,G04,background,367,76,14680
7,G05,algae,575,77,23e3
7,G05,background,505,77,20200
7,G06,algae,296,78,11840
7,G06,background,254,78,10160
7,G07,algae,685,79,27400
7,G07,background,6767,79,270680
7,G08,algae,359,80,14360
7,G08,background,754,80,30160
7,G09,algae,1108,81,44320
7,G09,background,939,81,37560
7,G10,algae,116,82,4640
7,G10,background,123,82,4920
7,G11,algae,76,83,3040
7,G11,background,100,83,4e3
7,G12,algae,59,84,2360
7,G12,background,20,84,800
7,H01,algae,965,85,38600
7,H01,background,4450,85,178e3
7,H02,algae,218,86,8720
7,H02,background,406,86,16240
7,H03,algae,954,87,38160
7,H03,background,3380,87,135200
7,H04,algae,397,88,15880
7,H04,background,6049,88,241960
7,H05,algae,529,89,21160
7,H05,background,90,89,3600
7,H06,algae,295,90,11800
7,H06,background,575,90,23e3
7,H07,algae,790,91,31600
7,H07,background,16121,91,644840
7,H08,algae,371,92,14840
7,H08,background,997,92,39880
7,H09,algae,888,93,35520
7,H09,background,18795,93,751800
7,H10,algae,110,94,4400
7,H10,background,335,94,13400
7,H11,algae,1043,95,41720
7,H11,background,11043,95,441720
7,H12,algae,195,96,7800
7,H12,background,287,96,11480
