day,well,type,n,sample,nutrients,dreissena,tea,lagerheimia,synechococcus,phyto,replicate,day_0_chlA,day_0_phycocyanin,day_1_chlA,day_1_phycocyanin,day_2_chlA,day_2_phycocyanin,day_7_chlA,day_7_phycocyanin,Dreissena_length,cells_per_ml
1,A03,algae,77,3,0,1,0,0,1,S,2,12,158,24,178,20,92,17,8,14.49,3080
1,A03,background,557,3,0,1,0,0,1,S,2,12,158,24,178,20,92,17,8,14.49,22280
1,A04,algae,307,4,1,1,0,1,0,L,3,36,5,20,3,21,3,16,4,15.06,12280
1,A04,background,238,4,1,1,0,1,0,L,3,36,5,20,3,21,3,16,4,15.06,9520
1,A05,algae,319,5,0,1,0,1,1,SL,1,23,70,17,18,19,28,13,5,12.37,12760
1,A05,background,276,5,0,1,0,1,1,SL,1,23,70,17,18,19,28,13,5,12.37,11040
1,A06,algae,183,6,0,1,0,0,1,S,4,12,148,17,98,22,45,13,5,12.87,7320
1,A06,background,286,6,0,1,0,0,1,S,4,12,148,17,98,22,45,13,5,12.87,11440
1,A07,algae,132,7,1,0,1,0,1,S,4,24,265,42,337,45,325,16,60,NA,5280
1,A07,background,434,7,1,0,1,0,1,S,4,24,265,42,337,45,325,16,60,NA,17360
1,A08,algae,290,8,0,1,0,1,0,L,4,37,4,15,4,23,5,26,5,16.08,11600
1,A08,background,243,8,0,1,0,1,0,L,4,37,4,15,4,23,5,26,5,16.08,9720
1,A09,algae,233,9,1,1,0,1,1,SL,4,33,126,29,144,56,210,24,5,14.23,9320
1,A09,background,312,9,1,1,0,1,1,SL,4,33,126,29,144,56,210,24,5,14.23,12480
1,A10,algae,988,10,1,0,0,1,0,L,4,40,5,42,5,43,7,42,5,NA,39520
1,A10,background,900,10,1,0,0,1,0,L,4,40,5,42,5,43,7,42,5,NA,36e3
1,A11,algae,99,11,1,0,1,0,1,S,1,23,263,44,341,46,323,15,57,NA,3960
1,A11,background,679,11,1,0,1,0,1,S,1,23,263,44,341,46,323,15,57,NA,27160
1,A12,algae,119,12,0,0,0,0,1,S,3,12,158,18,110,15,46,10,17,NA,4760
1,A12,background,958,12,0,0,0,0,1,S,3,12,158,18,110,15,46,10,17,NA,38320
1,B01,algae,282,13,1,0,0,0,1,S,1,22,264,38,301,46,314,17,57,NA,11280
1,B01,background,717,13,1,0,0,0,1,S,1,22,264,38,301,46,314,17,57,NA,28680
1,B02,algae,1010,14,1,0,0,1,0,L,3,42,5,45,5,50,5,44,5,NA,40400
1,B02,background,781,14,1,0,0,1,0,L,3,42,5,45,5,50,5,44,5,NA,31240
1,B03,algae,458,15,1,1,1,1,0,L,2,47,5,35,4,19,4,38,7,17.34,18320
1,B03,background,186,15,1,1,1,1,0,L,2,47,5,35,4,19,4,38,7,17.34,7440
1,B04,algae,355,16,1,1,1,1,0,L,1,37,5,24,4,26,4,14,5,12.38,14200
1,B04,background,194,16,1,1,1,1,0,L,1,37,5,24,4,26,4,14,5,12.38,7760
1,B05,algae,482,17,1,0,1,1,1,SL,2,33,130,43,163,60,252,42,58,NA,19280
1,B05,background,490,17,1,0,1,1,1,SL,2,33,130,43,163,60,252,42,58,NA,19600
1,B06,algae,239,18,1,1,0,1,1,SL,1,25,104,17,33,16,32,14,4,12.33,9560
1,B06,background,242,18,1,1,0,1,1,SL,1,25,104,17,33,16,32,14,4,12.33,9680
1,B07,algae,690,19,0,0,1,1,0,L,4,36,4,40,4,40,4,32,4,NA,27600
1,B07,background,371,19,0,0,1,1,0,L,4,36,4,40,4,40,4,32,4,NA,14840
1,B08,algae,99,20,0,1,1,0,1,S,2,15,142,24,197,29,161,22,6,15.22,3960
1,B08,background,460,20,0,1,1,0,1,S,2,15,142,24,197,29,161,22,6,15.22,18400
1,B09,algae,664,21,0,1,0,1,0,L,2,32,5,35,5,24,4,15,3,11.74,26560
1,B09,background,574,21,0,1,0,1,0,L,2,32,5,35,5,24,4,15,3,11.74,22960
1,B10,algae,152,22,1,1,0,0,1,S,3,18,229,15,69,11,22,18,4,12.87,6080
1,B10,background,402,22,1,1,0,0,1,S,3,18,229,15,69,11,22,18,4,12.87,16080
1,B11,algae,925,23,0,0,0,1,0,L,1,34,4,38,5,38,5,39,5,NA,37e3
1,B11,background,1993,23,0,0,0,1,0,L,1,34,4,38,5,38,5,39,5,NA,79720
1,B12,algae,497,24,1,1,1,1,1,SL,2,34,126,42,162,48,205,44,11,12.59,19880
1,B12,background,815,24,1,1,1,1,1,SL,2,34,126,42,162,48,205,44,11,12.59,32600
1,C01,algae,312,25,1,1,1,1,1,SL,4,29,121,36,121,35,93,26,7,15.27,12480
1,C01,background,558,25,1,1,1,1,1,SL,4,29,121,36,121,35,93,26,7,15.27,22320
1,C02,algae,101,26,0,1,1,0,1,S,4,13,150,15,68,15,40,12,3,13.62,4040
1,C02,background,322,26,0,1,1,0,1,S,4,13,150,15,68,15,40,12,3,13.62,12880
1,C03,algae,140,27,0,0,1,0,1,S,4,14,161,25,167,19,60,12,27,NA,5600
1,C03,background,494,27,0,0,1,0,1,S,4,14,161,25,167,19,60,12,27,NA,19760
1,C04,algae,169,28,1,0,1,0,1,S,3,25,263,42,352,48,347,18,70,NA,6760
1,C04,background,722,28,1,0,1,0,1,S,3,25,263,42,352,48,347,18,70,NA,28880
1,C05,algae,674,29,0,1,0,1,0,L,3,35,5,34,4,26,6,14,2,14.74,26960
1,C05,background,342,29,0,1,0,1,0,L,3,35,5,34,4,26,6,14,2,14.74,13680
1,C06,algae,103,30,0,1,0,0,1,S,1,13,164,27,204,38,233,28,11,12.7,4120
1,C06,background,578,30,0,1,0,0,1,S,1,13,164,27,204,38,233,28,11,12.7,23120
1,C07,algae,120,31,1,1,1,0,1,S,1,21,266,41,329,51,357,36,11,12.91,4800
1,C07,background,518,31,1,1,1,0,1,S,1,21,266,41,329,51,357,36,11,12.91,20720
1,C08,algae,689,32,1,1,1,1,0,L,4,39,7,38,4,25,4,69,5,15.32,27560
1,C08,background,286,32,1,1,1,1,0,L,4,39,7,38,4,25,4,69,5,15.32,11440
1,C09,algae,221,33,0,1,0,1,1,SL,2,25,72,17,30,15,23,15,4,13.46,8840
1,C09,background,229,33,0,1,0,1,1,SL,2,25,72,17,30,15,23,15,4,13.46,9160
1,C10,algae,261,34,1,1,0,1,1,SL,3,24,108,31,121,35,133,22,5,14.21,10440
1,C10,background,472,34,1,1,0,1,1,SL,3,24,108,31,121,35,133,22,5,14.21,18880
1,C11,algae,474,35,0,1,1,1,1,SL,2,26,79,37,154,43,164,16,7,13.81,18960
1,C11,background,826,35,0,1,1,1,1,SL,2,26,79,37,154,43,164,16,7,13.81,33040
1,C12,algae,792,36,1,0,1,1,0,L,2,42,5,46,6,49,5,53,6,NA,31680
1,C12,background,239,36,1,0,1,1,0,L,2,42,5,46,6,49,5,53,6,NA,9560
1,D01,algae,702,37,1,0,1,1,1,SL,3,35,127,46,172,62,254,46,64,NA,28080
1,D01,background,573,37,1,0,1,1,1,SL,3,35,127,46,172,62,254,46,64,NA,22920
1,D02,algae,50,38,0,1,0,0,1,S,3,13,127,9,45,12,38,16,4,14.94,2e3
1,D02,background,174,38,0,1,0,0,1,S,3,13,127,9,45,12,38,16,4,14.94,6960
1,D03,algae,561,39,0,0,1,1,1,SL,1,28,83,38,147,41,111,25,26,NA,22440
1,D03,background,491,39,0,0,1,1,1,SL,1,28,83,38,147,41,111,25,26,NA,19640
1,D04,algae,185,40,1,0,0,0,1,S,4,21,258,39,302,48,309,17,58,NA,7400
1,D04,background,773,40,1,0,0,0,1,S,4,21,258,39,302,48,309,17,58,NA,30920
1,D05,algae,529,41,1,0,0,1,1,SL,2,32,130,40,146,53,207,35,67,NA,21160
1,D05,background,693,41,1,0,0,1,1,SL,2,32,130,40,146,53,207,35,67,NA,27720
